"Language","original","english","spanish","german","russian","chinesesimp"
"STR_LFPG_ACTION_ADD_WAYPOINT","Add waypoint","Add waypoint","Add waypoint","Add waypoint","Add waypoint","添加路径点"
"STR_LFPG_ACTION_CANCEL_WIRING","Cancel wiring","Cancel wiring","Cancel wiring","Cancel wiring","Cancel wiring","取消接线"
"STR_LFPG_ACTION_CUT_WIRES","Cut wires","Cut wires","Cut wires","Cut wires","Cut wires","剪断电线"
"STR_LFPG_ACTION_TOGGLE_SOURCE","Toggle power","Toggle power","Toggle power","Toggle power","Toggle power","切换电源"
"STR_LFPG_ACTION_STATUS","LFPG status","LFPG status","Estado LFPG","LFPG status","LFPG status","LFPG 状态"
"STR_LFPG_INSPECT_SOURCE","SOURCE","SOURCE","FUENTE","QUELLE","ИСТОЧНИК","电源"
"STR_LFPG_INSPECT_CONSUMER","CONSUMER","CONSUMER","CONSUMIDOR","VERBRAUCHER","ПОТРЕБИТЕЛЬ","用电器"
"STR_LFPG_INSPECT_PASSTHROUGH","PASSTHROUGH","PASSTHROUGH","PASANTE","DURCHLEITUNG","ТРАНЗИТ","直通"
"STR_LFPG_INSPECT_CAMERA","CAMERA","CAMERA","CÁMARA","KAMERA","КАМЕРА","摄像头"
"STR_LFPG_INSPECT_UNKNOWN","UNKNOWN","UNKNOWN","DESCONOCIDO","UNBEKANNT","НЕИЗВЕСТНО","未知"
"STR_LFPG_INSPECT_OVERLOAD","OVERLOAD","OVERLOAD","SOBRECARGA","ÜBERLAST","ПЕРЕГРУЗКА","过载"
"STR_LFPG_INSPECT_WARNING","WARNING","WARNING","ADVERTENCIA","WARNUNG","ВНИМАНИЕ","警告"
"STR_LFPG_INSPECT_ACTIVE","ACTIVE","ACTIVE","ACTIVO","AKTIV","АКТИВЕН","运行中"
"STR_LFPG_INSPECT_INACTIVE","INACTIVE","INACTIVE","INACTIVO","INAKTIV","НЕАКТИВЕН","已停止"
"STR_LFPG_INSPECT_POWERED","POWERED","POWERED","ENCENDIDO","VERSORGT","ЗАПИТАН","已供电"
"STR_LFPG_INSPECT_UNPOWERED","UNPOWERED","UNPOWERED","APAGADO","OHNE STROM","НЕТ ПИТАНИЯ","未供电"
"STR_LFPG_INSPECT_CAPACITY","Capacity: ","Capacity: ","Capacidad: ","Kapazität: ","Мощность: ","容量："
"STR_LFPG_INSPECT_CONSUMPTION","Consumption: ","Consumption: ","Consumo: ","Verbrauch: ","Потребление: ","耗电："
"STR_LFPG_INSPECT_THROUGHPUT","Throughput: ","Throughput: ","Rendimiento: ","Durchsatz: ","Пропускная: ","吞吐量："
"STR_LFPG_INSPECT_TOTAL_LOAD","Total Load: ","Total Load: ","Carga total: ","Gesamtlast: ","Общая нагр.: ","总负载："
"STR_LFPG_INSPECT_CONNECTIONS","Connections","Connections","Conexiones","Verbindungen","Подключения","连接"
"STR_LFPG_INSPECT_CONN_LOADING","Connections ...","Connections ...","Conexiones ...","Verbindungen ...","Подключения ...","连接中..."
"STR_LFPG_INSPECT_SHOWING","showing","showing","mostrando","zeige","показано","显示"
"STR_LFPG_INSPECT_DIR_OUT","OUT","OUT","SAL","AUS","ВЫХ","输出"
"STR_LFPG_INSPECT_DIR_IN","IN","IN","ENT","EIN","ВХ","输入"
"STR_LFPG_INSPECT_PORT_MAIN_IN","Main Input","Main Input","Entrada principal","Haupteingang","Гл. вход","主输入"
"STR_LFPG_INSPECT_PORT_INPUT","Input","Input","Entrada","Eingang","Вход","输入"
"STR_LFPG_INSPECT_PORT_OUTPUT","Output","Output","Salida","Ausgang","Выход","输出"
"STR_LFPG_INSPECT_TRANSMITTING","TRANSMITTING","TRANSMITTING","TRANSMITIENDO","ÜBERTRAGEND","ПЕРЕДАЁТ","传输中"
"STR_LFPG_INSPECT_NOT_TRANSMITTING","NOT TRANSMITTING","NOT TRANSMITTING","SIN TRANSMITIR","NICHT ÜBERTRAGEND","НЕ ПЕРЕДАЁТ","未传输"
"STR_LFPG_CEILING_LIGHT_KIT","Ceiling Light Kit","Ceiling Light Kit","Kit de Luz de Techo","Deckenlampen-Kit","Потолочный свет. (набор)","吸顶灯套件"
"STR_LFPG_CEILING_LIGHT","Ceiling Light","Ceiling Light","Luz de Techo","Deckenlampe","Потолочный светильник","吸顶灯"
"STR_LFPG_SOLAR_KIT","Solar Panel Kit","Solar Panel Kit","Kit de Panel Solar","Solar Panel Kit","Solar Panel Kit","太阳能板套件"
"STR_LFPG_SOLAR_KIT_DESC","Kit to deploy a solar panel.","Kit to deploy a solar panel.","Kit para desplegar un panel solar.","Kit to deploy a solar panel.","Kit to deploy a solar panel.","用于部署太阳能板的套件。"
"STR_LFPG_SOLAR_T1","Solar Panel","Solar Panel","Panel Solar","Solar Panel","Solar Panel","太阳能板"
"STR_LFPG_SOLAR_T1_DESC","Generates 20 u/s during daylight. Upgradeable.","Generates 20 u/s during daylight. Upgradeable.","Genera 20 u/s durante el día. Mejorable.","Generates 20 u/s during daylight. Upgradeable.","Generates 20 u/s during daylight. Upgradeable.","白天发电 20 u/s。可升级。"
"STR_LFPG_SOLAR_T2","Solar Panel (Upgraded)","Solar Panel (Upgraded)","Panel Solar (Mejorado)","Solar Panel (Upgraded)","Solar Panel (Upgraded)","太阳能板（已升级）"
"STR_LFPG_SOLAR_T2_DESC","Generates 50 u/s during daylight.","Generates 50 u/s during daylight.","Genera 50 u/s durante el día.","Generates 50 u/s during daylight.","Generates 50 u/s during daylight.","白天发电 50 u/s。"
"STR_LFPG_ACTION_UPGRADE_SOLAR","Upgrade Solar Panel","Upgrade Solar Panel","Mejorar Panel Solar","Upgrade Solar Panel","Upgrade Solar Panel","升级太阳能板"
"STR_LFPG_CombinerKit","Electrical Combiner Kit","Electrical Combiner Kit","Kit de Combinador Eléctrico","Electrical Combiner Kit","Electrical Combiner Kit","电力合并器套件"
"STR_LFPG_CombinerKit_Desc","A kit to build an electrical combiner","A kit to build an electrical combiner","Un kit para construir un combinador eléctrico","A kit to build an electrical combiner","A kit to build an electrical combiner","用于建造电力合并器的套件"
"STR_LFPG_Combiner","Electrical Combiner","Electrical Combiner","Combinador Eléctrico","Electrical Combiner","Electrical Combiner","电力合并器"
"STR_LFPG_Combiner_Desc","Combines two electrical inputs into a single output","Combines two electrical inputs into a single output","Combina dos entradas eléctricas en una sola salida","Combines two electrical inputs into a single output","Combines two electrical inputs into a single output","将两路电力输入合并为一路输出"
"STR_LFPG_CameraKit","Security Camera Kit","Security Camera Kit","Kit de Camara de Seguridad","Security Camera Kit","Security Camera Kit","监控摄像头套件"
"STR_LFPG_CameraKit_Desc","A kit to deploy a security camera.","A kit to deploy a security camera.","Kit para instalar una camara de seguridad.","A kit to deploy a security camera.","A kit to deploy a security camera.","用于部署监控摄像头的套件。"
"STR_LFPG_Camera","Security Camera","Security Camera","Camara de Seguridad","Security Camera","Security Camera","监控摄像头"
"STR_LFPG_Camera_Desc","Surveillance camera. Consumes 15 u/s.","Surveillance camera. Consumes 15 u/s.","Camara de vigilancia. Consume 15 u/s.","Surveillance camera. Consumes 15 u/s.","Surveillance camera. Consumes 15 u/s.","监控摄像头。耗电 15 u/s。"
"STR_LFPG_MonitorKit","Monitor Kit","Monitor Kit","Kit de Monitor","Monitor Kit","Monitor Kit","监视器套件"
"STR_LFPG_MonitorKit_Desc","A kit to deploy a security monitor.","A kit to deploy a security monitor.","Kit para instalar un monitor de seguridad.","A kit to deploy a security monitor.","A kit to deploy a security monitor.","用于部署监视器的套件。"
"STR_LFPG_Monitor","Security Monitor","Security Monitor","Monitor de Seguridad","Security Monitor","Security Monitor","监视器"
"STR_LFPG_Monitor_Desc","Displays camera feed. Consumes 10 u/s.","Displays camera feed. Consumes 10 u/s.","Muestra imagen de camara. Consume 10 u/s.","Displays camera feed. Consumes 10 u/s.","Displays camera feed. Consumes 10 u/s.","显示摄像头画面。耗电 10 u/s。"
